,crew_type,crew_type_seq,drama_id,person_code,person_name,person_pic_url,person_role
218,배우,18,50381,19136,엄수정,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile68.uf.daum.net%2Fimage%2F23250D4358819739042186,출연
219,배우,19,50381,29624,임소영,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile69.uf.daum.net%2Fimage%2F2350423757F2F58127F27B,출연
220,제작진,1,50381,705531,손형석,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile70.uf.daum.net%2Fimage%2F263A733E5923DF5A127CCE,기획
221,제작진,2,50381,,김남경,,극본
222,제작진,3,50381,,김대진,,연출
223,제작진,4,50381,43963,강대선,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile66.uf.daum.net%2Fimage%2F2364B24F5136D9C0262136,연출
224,제작진,5,50381,,이정효,,연출
225,제작진,6,50381,,진헌수,,극본
226,제작진,7,50381,,권기경,,극본
227,제작진,8,50381,,김미현,,극본
228,배우,1,50563,17702,강성진,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile189.uf.daum.net%2Fimage%2F14407716499A6402310995,진아심 역
229,배우,2,50563,18966,김정화,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile189.uf.daum.net%2Fimage%2F1212EB17499A640ABC651F,민수연 역
230,배우,3,50563,17860,박수진,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile89.uf.daum.net%2Fimage%2F11149A17499A6412247360,안천사 역
231,배우,4,50563,92747,임영식,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile89.uf.daum.net%2Fimage%2F143F8A16499A627B5EFB79,최동녘  역
232,배우,5,50563,23167,남경읍,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile89.uf.daum.net%2Fimage%2F11242815499A64237C12F2,매니저 역
233,배우,6,50563,73900,임채홍,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile189.uf.daum.net%2Fimage%2F13131F17499A628743C96B,캡틴 역
234,배우,7,50563,19499,임현식,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile189.uf.daum.net%2Fimage%2F13233D15499A629130860B,장영감 역
235,제작진,1,50563,286703,티어라이너,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile66.uf.daum.net%2Fimage%2F231F773456DE6245036510,음악
236,제작진,2,50563,,이주희,,연출
237,제작진,3,50563,,권성찬,,극본
238,제작진,4,50563,,김정현,,극본
239,제작진,5,50563,818938,애쉬번,,기획
240,배우,1,49956,19326,김승우,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile30.uf.daum.net%2Fimage%2F1401D7064946FEF7063534,백수찬 역
241,배우,2,49956,17633,배두나,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile129.uf.daum.net%2Fimage%2F122F41054946FF4111D284,정윤희 역
242,배우,3,49956,24363,박시후,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile26.uf.daum.net%2Fimage%2F12299D084946FF6F1C49DF,유준석 역
243,배우,4,49956,17737,왕지혜,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile30.uf.daum.net%2Fimage%2F15560A064946FF8D0F0A4D,고혜미 역
244,배우,5,49956,17993,손현주,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile29.uf.daum.net%2Fimage%2F135F8B074946FFA70343C4,양덕길 역
245,배우,6,49956,18463,김성령,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile30.uf.daum.net%2Fimage%2F13028B064946FFB802273E,정미희 역
246,배우,7,49956,18599,박원숙,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile129.uf.daum.net%2Fimage%2F145F9C074946FFFC05F514,선우여사 역
247,배우,8,49956,19283,정동환,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile127.uf.daum.net%2Fimage%2F12447508494700200499E7,고창식 역
248,배우,9,49956,37429,서권순,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile28.uf.daum.net%2Fimage%2F110C05074947003202DE90,송영자 역
249,배우,10,49956,886513,이원재,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile128.uf.daum.net%2Fimage%2F110F030549470044193997,변희섭 역
250,배우,11,49956,37127,김선화,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile30.uf.daum.net%2Fimage%2F15725B0849470055021B6E,최보경 역
251,배우,12,49956,224187,김동균,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile28.uf.daum.net%2Fimage%2F1233060549470063031881,김대식 역
252,배우,13,49956,21663,김예령,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile26.uf.daum.net%2Fimage%2F14331305494700760364A6,단명희 역
253,배우,14,49956,18093,김정학,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile29.uf.daum.net%2Fimage%2F110E8E054947008717F5BA,차영재 역
254,배우,15,49956,25080,조한나,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile29.uf.daum.net%2Fimage%2F12729908494700A502AED8,나하니 역
255,배우,16,49956,26616,박광수,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile130.uf.daum.net%2Fimage%2F11379707494700B91F7786,위대한 역
256,배우,17,49956,17694,안선영,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile126.uf.daum.net%2Fimage%2F13076306494700C815F875,오정숙 역
